class,precision,recall,f1_score,support
alt.atheism,0.53,0.8,0.64,250.0
comp.graphics,0.41,0.11,0.18,250.0
comp.os.ms-windows.misc,0.44,0.32,0.37,250.0
comp.sys.ibm.pc.hardware,0.63,0.87,0.73,250.0
comp.sys.mac.hardware,0.51,0.9,0.66,250.0
comp.windows.x,0.66,0.64,0.65,250.0
misc.forsale,0.35,0.8,0.49,250.0
rec.autos,0.6,0.57,0.58,250.0
rec.motorcycles,0.67,0.9,0.77,250.0
rec.sport.baseball,0.6,0.97,0.75,250.0
rec.sport.hockey,0.9,0.98,0.94,250.0
sci.crypt,0.78,0.58,0.67,250.0
sci.electronics,0.71,0.55,0.62,250.0
sci.med,0.86,0.52,0.65,250.0
sci.space,0.75,0.27,0.4,250.0
soc.religion.christian,0.98,0.99,0.98,247.0
talk.politics.guns,0.52,0.56,0.54,250.0
talk.politics.mideast,0.88,0.64,0.74,250.0
talk.politics.misc,0.52,0.19,0.28,250.0
talk.religion.misc,0.39,0.16,0.23,250.0
accuracy,0.0,0.0,0.0,0.62
