,0
0,talk.politics.mideast
1,talk.politics.mideast
2,talk.politics.mideast
3,talk.politics.mideast
4,talk.politics.mideast
5,talk.politics.mideast
6,talk.politics.mideast
7,talk.politics.mideast
8,talk.politics.mideast
9,talk.politics.mideast
10,talk.politics.mideast
11,talk.politics.mideast
12,talk.politics.mideast
13,talk.politics.mideast
14,talk.politics.mideast
15,talk.politics.mideast
16,talk.politics.mideast
17,talk.politics.mideast
18,talk.politics.mideast
19,talk.politics.mideast
20,talk.politics.mideast
21,talk.politics.mideast
22,talk.politics.mideast
23,talk.politics.mideast
24,talk.politics.mideast
25,talk.politics.mideast
26,talk.politics.mideast
27,talk.politics.mideast
28,talk.politics.mideast
29,talk.politics.mideast
30,talk.politics.mideast
31,talk.politics.mideast
32,talk.politics.mideast
33,talk.politics.mideast
34,talk.politics.mideast
35,talk.politics.mideast
36,talk.politics.mideast
37,talk.politics.mideast
38,talk.politics.mideast
39,talk.politics.mideast
40,talk.politics.mideast
41,talk.politics.mideast
42,talk.politics.mideast
43,talk.politics.mideast
44,talk.politics.mideast
45,talk.politics.mideast
46,talk.politics.mideast
47,talk.politics.mideast
48,talk.politics.mideast
49,talk.politics.mideast
50,talk.politics.mideast
51,talk.politics.mideast
52,talk.politics.mideast
53,talk.politics.mideast
54,talk.politics.mideast
55,talk.politics.mideast
56,talk.politics.mideast
57,talk.politics.mideast
58,talk.politics.mideast
59,talk.politics.mideast
60,talk.politics.mideast
61,talk.politics.mideast
62,talk.politics.mideast
63,talk.politics.mideast
64,talk.politics.mideast
65,talk.politics.mideast
66,talk.politics.mideast
67,talk.politics.mideast
68,talk.politics.mideast
69,talk.politics.mideast
70,talk.politics.mideast
71,talk.politics.mideast
72,talk.politics.mideast
73,talk.politics.mideast
74,talk.politics.mideast
75,talk.politics.mideast
76,talk.politics.mideast
77,talk.politics.mideast
78,talk.politics.mideast
79,talk.politics.mideast
80,talk.politics.mideast
81,talk.politics.mideast
82,talk.politics.mideast
83,talk.politics.mideast
84,talk.politics.mideast
85,talk.politics.mideast
86,talk.politics.mideast
87,talk.politics.mideast
88,talk.politics.mideast
89,talk.politics.mideast
90,talk.politics.mideast
91,talk.politics.mideast
92,talk.politics.mideast
93,talk.politics.mideast
94,talk.politics.mideast
95,talk.politics.mideast
96,talk.politics.mideast
97,talk.politics.mideast
98,talk.politics.mideast
99,talk.politics.mideast
100,talk.politics.mideast
101,talk.politics.mideast
102,talk.politics.mideast
103,talk.politics.mideast
104,talk.politics.mideast
105,talk.politics.mideast
106,talk.politics.mideast
107,talk.politics.mideast
108,talk.politics.mideast
109,talk.politics.mideast
110,talk.politics.mideast
111,talk.politics.mideast
112,talk.politics.mideast
113,talk.politics.mideast
114,talk.politics.mideast
115,talk.politics.mideast
116,talk.politics.mideast
117,talk.politics.mideast
118,talk.politics.mideast
119,talk.politics.mideast
120,talk.politics.mideast
121,talk.politics.mideast
122,talk.politics.mideast
123,talk.politics.mideast
124,talk.politics.mideast
125,talk.politics.mideast
126,talk.politics.mideast
127,talk.politics.mideast
128,talk.politics.mideast
129,talk.politics.mideast
130,talk.politics.mideast
131,talk.politics.mideast
132,talk.politics.mideast
133,talk.politics.mideast
134,talk.politics.mideast
135,talk.politics.mideast
136,talk.politics.mideast
137,talk.politics.mideast
138,talk.politics.mideast
139,talk.politics.mideast
140,talk.politics.mideast
141,talk.politics.mideast
142,talk.politics.mideast
143,talk.politics.mideast
144,talk.politics.mideast
145,talk.politics.mideast
146,talk.politics.mideast
147,talk.politics.mideast
